country,week,NO2,PM2.5
Argentina,1,4.1499999999999995,52.733333333333334
Argentina,2,7.196428571428571,48.091269841269835
Argentina,3,7.333333333333333,40.58333333333333
Argentina,4,6.412698412698412,58.04761904761905
Argentina,5,4.1190476190476195,34.08015873015873
Argentina,6,3.857142857142857,36.07142857142857
Argentina,7,4.033333333333333,44.36904761904762
Argentina,8,4.761904761904762,52.32380952380953
Argentina,9,5.761904761904762,36.714285714285715
Argentina,10,3.2380952380952386,37.916666666666664
Argentina,11,3.134920634920635,36.714285714285715
Australia,1,5.986666666666666,25.259166666666665
Australia,2,4.699999999999999,23.754960317460316
Australia,3,4.466666666666667,23.6084126984127
Australia,4,4.742857142857143,22.866666666666667
Australia,5,4.9714285714285715,25.82857142857143
Australia,6,4.59047619047619,25.164285714285718
Australia,7,4.517460317460317,24.671428571428574
Australia,8,3.7314285714285718,23.74285714285714
Australia,9,5.114285714285714,20.80047619047619
Australia,10,4.73968253968254,22.597619047619048
Australia,11,5.352380952380952,24.43809523809524
Austria,1,16.0,58.0
Austria,2,17.428571428571427,74.28571428571429
Austria,3,25.857142857142858,68.42857142857143
Austria,4,18.714285714285715,57.0
Austria,5,14.857142857142858,46.857142857142854
Austria,6,13.285714285714286,18.0
Austria,7,14.0,23.0
Austria,8,23.714285714285715,62.142857142857146
Austria,9,20.142857142857142,52.142857142857146
Austria,10,12.428571428571429,58.714285714285715
Austria,11,17.0,74.42857142857143
Bolivia,1,7.324999999999999,35.88333333333333
Bolivia,2,10.25,43.654761904761905
Bolivia,3,6.2214285714285715,38.035714285714285
Bolivia,4,8.428571428571429,39.20238095238095
Bolivia,5,7.595238095238096,43.07142857142857
Bolivia,6,8.214285714285714,44.621428571428574
Bolivia,7,7.357142857142858,39.095238095238095
Bolivia,8,7.714285714285715,35.19047619047619
Bolivia,9,7.428571428571429,43.29166666666667
Bolivia,10,5.7142857142857135,31.089285714285715
Bolivia,11,5.428571428571429,29.257142857142856
Brazil,1,19.85,58.59166666666667
Brazil,2,16.785714285714285,53.023809523809526
Brazil,3,14.5,47.43452380952381
Brazil,4,15.464285714285714,46.0952380952381
Brazil,5,18.279761904761905,45.86507936507937
