,country,week,count
0,Afghanistan,4,0
1,Albania,4,0
2,Algeria,4,0
3,Andorra,4,0
4,Angola,4,0
5,Antigua and Barbuda,4,0
6,Argentina,4,0
7,Armenia,4,0
8,Australia,4,0
9,Austria,4,0
10,Azerbaijan,4,0
11,Bahamas,4,0
12,Bahrain,4,0
13,Bangladesh,4,0
14,Barbados,4,0
15,Belarus,4,0
16,Belgium,4,0
17,Belize,4,0
18,Benin,4,0
19,Bhutan,4,0
20,Bolivia,4,0
21,Bosnia and Herzegovina,4,0
22,Botswana,4,0
23,Brazil,4,0
24,Brunei,4,0
25,Bulgaria,4,0
26,Burkina Faso,4,0
27,Burma,4,0
28,Burundi,4,0
29,Cabo Verde,4,0
30,Cambodia,4,0
31,Cameroon,4,0
32,Canada,4,0
33,Central African Republic,4,0
34,Chad,4,0
35,Chile,4,0
36,China,4,56
37,Colombia,4,0
38,Congo (Brazzaville),4,0
39,Congo (Kinshasa),4,0
40,Costa Rica,4,0
41,Cote d'Ivoire,4,0
42,Croatia,4,0
43,Cuba,4,0
44,Cyprus,4,0
45,Czechia,4,0
46,Denmark,4,0
47,Diamond Princess,4,0
48,Djibouti,4,0
49,Dominica,4,0
50,Dominican Republic,4,0
51,Ecuador,4,0
52,Egypt,4,0
53,El Salvador,4,0
54,Equatorial Guinea,4,0
55,Eritrea,4,0
56,Estonia,4,0
57,Eswatini,4,0
58,Ethiopia,4,0
59,Fiji,4,0
60,Finland,4,0
61,France,4,0
62,Gabon,4,0
63,Gambia,4,0
64,Georgia,4,0
65,Germany,4,0
66,Ghana,4,0
67,Greece,4,0
68,Grenada,4,0
69,Guatemala,4,0
70,Guinea,4,0
71,Guinea-Bissau,4,0
72,Guyana,4,0
73,Haiti,4,0
74,Holy See,4,0
75,Honduras,4,0
76,Hungary,4,0
77,Iceland,4,0
78,India,4,0
79,Indonesia,4,0
80,Iran,4,0
81,Iraq,4,0
82,Ireland,4,0
83,Israel,4,0
84,Italy,4,0
85,Jamaica,4,0
86,Japan,4,0
87,Jordan,4,0
88,Kazakhstan,4,0
89,Kenya,4,0
90,"Korea, South",4,0
91,Kosovo,4,0
92,Kuwait,4,0
93,Kyrgyzstan,4,0
94,Laos,4,0
95,Latvia,4,0
96,Lebanon,4,0
97,Liberia,4,0
98,Libya,4,0
99,Liechtenstein,4,0
100,Lithuania,4,0
101,Luxembourg,4,0
102,MS Zaandam,4,0
103,Madagascar,4,0
104,Malawi,4,0
105,Malaysia,4,0
106,Maldives,4,0
107,Mali,4,0
108,Malta,4,0
109,Mauritania,4,0
110,Mauritius,4,0
111,Mexico,4,0
112,Moldova,4,0
113,Monaco,4,0
114,Mongolia,4,0
115,Montenegro,4,0
116,Morocco,4,0
117,Mozambique,4,0
118,Namibia,4,0
119,Nepal,4,0
120,Netherlands,4,0
121,New Zealand,4,0
122,Nicaragua,4,0
123,Niger,4,0
124,Nigeria,4,0
125,North Macedonia,4,0
126,Norway,4,0
127,Oman,4,0
128,Pakistan,4,0
129,Panama,4,0
130,Papua New Guinea,4,0
131,Paraguay,4,0
132,Peru,4,0
133,Philippines,4,0
134,Poland,4,0
135,Portugal,4,0
136,Qatar,4,0
137,Romania,4,0
138,Russia,4,0
139,Rwanda,4,0
140,Saint Kitts and Nevis,4,0
141,Saint Lucia,4,0
142,Saint Vincent and the Grenadines,4,0
143,San Marino,4,0
144,Sao Tome and Principe,4,0
145,Saudi Arabia,4,0
146,Senegal,4,0
147,Serbia,4,0
148,Seychelles,4,0
149,Sierra Leone,4,0
150,Singapore,4,0
151,Slovakia,4,0
152,Slovenia,4,0
153,Somalia,4,0
154,South Africa,4,0
155,South Sudan,4,0
156,Spain,4,0
157,Sri Lanka,4,0
158,Sudan,4,0
159,Suriname,4,0
160,Sweden,4,0
161,Switzerland,4,0
162,Syria,4,0
163,Taiwan*,4,0
164,Tanzania,4,0
165,Thailand,4,0
166,Timor-Leste,4,0
167,Togo,4,0
168,Trinidad and Tobago,4,0
169,Tunisia,4,0
170,Turkey,4,0
171,US,4,0
172,Uganda,4,0
173,Ukraine,4,0
174,United Arab Emirates,4,0
175,United Kingdom,4,0
176,Uruguay,4,0
177,Uzbekistan,4,0
178,Venezuela,4,0
179,Vietnam,4,0
180,West Bank and Gaza,4,0
181,Western Sahara,4,0
182,Yemen,4,0
183,Zambia,4,0
184,Zimbabwe,4,0
185,Afghanistan,5,0
186,Albania,5,0
187,Algeria,5,0
188,Andorra,5,0
189,Angola,5,0
190,Antigua and Barbuda,5,0
191,Argentina,5,0
192,Armenia,5,0
193,Australia,5,0
194,Austria,5,0
195,Azerbaijan,5,0
196,Bahamas,5,0
197,Bahrain,5,0
198,Bangladesh,5,0
199,Barbados,5,0
200,Belarus,5,0
201,Belgium,5,0
202,Belize,5,0
203,Benin,5,0
204,Bhutan,5,0
205,Bolivia,5,0
206,Bosnia and Herzegovina,5,0
207,Botswana,5,0
208,Brazil,5,0
209,Brunei,5,0
210,Bulgaria,5,0
211,Burkina Faso,5,0
212,Burma,5,0
213,Burundi,5,0
214,Cabo Verde,5,0
215,Cambodia,5,0
216,Cameroon,5,0
217,Canada,5,0
218,Central African Republic,5,0
219,Chad,5,0
220,Chile,5,0
221,China,5,361
222,Colombia,5,0
223,Congo (Brazzaville),5,0
224,Congo (Kinshasa),5,0
225,Costa Rica,5,0
226,Cote d'Ivoire,5,0
227,Croatia,5,0
228,Cuba,5,0
229,Cyprus,5,0
230,Czechia,5,0
231,Denmark,5,0
232,Diamond Princess,5,0
233,Djibouti,5,0
234,Dominica,5,0
235,Dominican Republic,5,0
236,Ecuador,5,0
237,Egypt,5,0
238,El Salvador,5,0
239,Equatorial Guinea,5,0
240,Eritrea,5,0
241,Estonia,5,0
242,Eswatini,5,0
243,Ethiopia,5,0
244,Fiji,5,0
245,Finland,5,0
246,France,5,0
247,Gabon,5,0
248,Gambia,5,0
249,Georgia,5,0
250,Germany,5,0
251,Ghana,5,0
252,Greece,5,0
253,Grenada,5,0
254,Guatemala,5,0
255,Guinea,5,0
256,Guinea-Bissau,5,0
257,Guyana,5,0
258,Haiti,5,0
259,Holy See,5,0
260,Honduras,5,0
261,Hungary,5,0
262,Iceland,5,0
263,India,5,0
264,Indonesia,5,0
265,Iran,5,0
266,Iraq,5,0
267,Ireland,5,0
268,Israel,5,0
269,Italy,5,0
270,Jamaica,5,0
271,Japan,5,0
272,Jordan,5,0
273,Kazakhstan,5,0
274,Kenya,5,0
275,"Korea, South",5,0
276,Kosovo,5,0
277,Kuwait,5,0
278,Kyrgyzstan,5,0
279,Laos,5,0
280,Latvia,5,0
281,Lebanon,5,0
282,Liberia,5,0
283,Libya,5,0
284,Liechtenstein,5,0
285,Lithuania,5,0
286,Luxembourg,5,0
287,MS Zaandam,5,0
288,Madagascar,5,0
289,Malawi,5,0
290,Malaysia,5,0
291,Maldives,5,0
292,Mali,5,0
293,Malta,5,0
294,Mauritania,5,0
295,Mauritius,5,0
296,Mexico,5,0
297,Moldova,5,0
298,Monaco,5,0
299,Mongolia,5,0
300,Montenegro,5,0
301,Morocco,5,0
302,Mozambique,5,0
303,Namibia,5,0
304,Nepal,5,0
305,Netherlands,5,0
306,New Zealand,5,0
307,Nicaragua,5,0
308,Niger,5,0
309,Nigeria,5,0
310,North Macedonia,5,0
311,Norway,5,0
312,Oman,5,0
313,Pakistan,5,0
314,Panama,5,0
315,Papua New Guinea,5,0
316,Paraguay,5,0
317,Peru,5,0
318,Philippines,5,1
319,Poland,5,0
320,Portugal,5,0
321,Qatar,5,0
322,Romania,5,0
323,Russia,5,0
324,Rwanda,5,0
325,Saint Kitts and Nevis,5,0
326,Saint Lucia,5,0
327,Saint Vincent and the Grenadines,5,0
328,San Marino,5,0
329,Sao Tome and Principe,5,0
330,Saudi Arabia,5,0
331,Senegal,5,0
332,Serbia,5,0
333,Seychelles,5,0
334,Sierra Leone,5,0
335,Singapore,5,0
336,Slovakia,5,0
337,Slovenia,5,0
338,Somalia,5,0
339,South Africa,5,0
340,South Sudan,5,0
341,Spain,5,0
342,Sri Lanka,5,0
343,Sudan,5,0
344,Suriname,5,0
345,Sweden,5,0
346,Switzerland,5,0
347,Syria,5,0
348,Taiwan*,5,0
349,Tanzania,5,0
350,Thailand,5,0
351,Timor-Leste,5,0
352,Togo,5,0
353,Trinidad and Tobago,5,0
354,Tunisia,5,0
355,Turkey,5,0
356,US,5,0
357,Uganda,5,0
358,Ukraine,5,0
359,United Arab Emirates,5,0
360,United Kingdom,5,0
361,Uruguay,5,0
362,Uzbekistan,5,0
363,Venezuela,5,0
364,Vietnam,5,0
365,West Bank and Gaza,5,0
366,Western Sahara,5,0
367,Yemen,5,0
368,Zambia,5,0
369,Zimbabwe,5,0
370,Afghanistan,6,0
371,Albania,6,0
372,Algeria,6,0
373,Andorra,6,0
374,Angola,6,0
375,Antigua and Barbuda,6,0
376,Argentina,6,0
377,Armenia,6,0
378,Australia,6,0
379,Austria,6,0
380,Azerbaijan,6,0
381,Bahamas,6,0
382,Bahrain,6,0
383,Bangladesh,6,0
384,Barbados,6,0
385,Belarus,6,0
386,Belgium,6,0
387,Belize,6,0
388,Benin,6,0
389,Bhutan,6,0
390,Bolivia,6,0
391,Bosnia and Herzegovina,6,0
392,Botswana,6,0
393,Brazil,6,0
394,Brunei,6,0
395,Bulgaria,6,0
396,Burkina Faso,6,0
397,Burma,6,0
398,Burundi,6,0
399,Cabo Verde,6,0
400,Cambodia,6,0
401,Cameroon,6,0
402,Canada,6,0
403,Central African Republic,6,0
404,Chad,6,0
405,Chile,6,0
406,China,6,905
407,Colombia,6,0
408,Congo (Brazzaville),6,0
409,Congo (Kinshasa),6,0
410,Costa Rica,6,0
411,Cote d'Ivoire,6,0
412,Croatia,6,0
413,Cuba,6,0
414,Cyprus,6,0
415,Czechia,6,0
416,Denmark,6,0
417,Diamond Princess,6,0
418,Djibouti,6,0
419,Dominica,6,0
420,Dominican Republic,6,0
421,Ecuador,6,0
422,Egypt,6,0
423,El Salvador,6,0
424,Equatorial Guinea,6,0
425,Eritrea,6,0
426,Estonia,6,0
427,Eswatini,6,0
428,Ethiopia,6,0
429,Fiji,6,0
430,Finland,6,0
431,France,6,0
432,Gabon,6,0
433,Gambia,6,0
434,Georgia,6,0
435,Germany,6,0
436,Ghana,6,0
437,Greece,6,0
438,Grenada,6,0
439,Guatemala,6,0
440,Guinea,6,0
441,Guinea-Bissau,6,0
442,Guyana,6,0
443,Haiti,6,0
444,Holy See,6,0
445,Honduras,6,0
446,Hungary,6,0
447,Iceland,6,0
448,India,6,0
449,Indonesia,6,0
450,Iran,6,0
451,Iraq,6,0
452,Ireland,6,0
453,Israel,6,0
454,Italy,6,0
455,Jamaica,6,0
456,Japan,6,0
457,Jordan,6,0
458,Kazakhstan,6,0
459,Kenya,6,0
460,"Korea, South",6,0
461,Kosovo,6,0
462,Kuwait,6,0
463,Kyrgyzstan,6,0
464,Laos,6,0
465,Latvia,6,0
466,Lebanon,6,0
467,Liberia,6,0
468,Libya,6,0
469,Liechtenstein,6,0
470,Lithuania,6,0
471,Luxembourg,6,0
472,MS Zaandam,6,0
473,Madagascar,6,0
474,Malawi,6,0
475,Malaysia,6,0
476,Maldives,6,0
477,Mali,6,0
478,Malta,6,0
479,Mauritania,6,0
480,Mauritius,6,0
481,Mexico,6,0
482,Moldova,6,0
483,Monaco,6,0
484,Mongolia,6,0
485,Montenegro,6,0
486,Morocco,6,0
487,Mozambique,6,0
488,Namibia,6,0
489,Nepal,6,0
490,Netherlands,6,0
491,New Zealand,6,0
492,Nicaragua,6,0
493,Niger,6,0
494,Nigeria,6,0
495,North Macedonia,6,0
496,Norway,6,0
497,Oman,6,0
498,Pakistan,6,0
499,Panama,6,0
500,Papua New Guinea,6,0
501,Paraguay,6,0
502,Peru,6,0
503,Philippines,6,1
504,Poland,6,0
505,Portugal,6,0
506,Qatar,6,0
507,Romania,6,0
508,Russia,6,0
509,Rwanda,6,0
510,Saint Kitts and Nevis,6,0
511,Saint Lucia,6,0
512,Saint Vincent and the Grenadines,6,0
513,San Marino,6,0
514,Sao Tome and Principe,6,0
515,Saudi Arabia,6,0
516,Senegal,6,0
517,Serbia,6,0
518,Seychelles,6,0
519,Sierra Leone,6,0
520,Singapore,6,0
521,Slovakia,6,0
522,Slovenia,6,0
523,Somalia,6,0
524,South Africa,6,0
525,South Sudan,6,0
526,Spain,6,0
527,Sri Lanka,6,0
528,Sudan,6,0
529,Suriname,6,0
530,Sweden,6,0
531,Switzerland,6,0
532,Syria,6,0
533,Taiwan*,6,0
534,Tanzania,6,0
535,Thailand,6,0
536,Timor-Leste,6,0
537,Togo,6,0
538,Trinidad and Tobago,6,0
539,Tunisia,6,0
540,Turkey,6,0
541,US,6,0
542,Uganda,6,0
543,Ukraine,6,0
544,United Arab Emirates,6,0
545,United Kingdom,6,0
546,Uruguay,6,0
547,Uzbekistan,6,0
548,Venezuela,6,0
549,Vietnam,6,0
550,West Bank and Gaza,6,0
551,Western Sahara,6,0
552,Yemen,6,0
553,Zambia,6,0
554,Zimbabwe,6,0
555,Afghanistan,7,0
556,Albania,7,0
557,Algeria,7,0
558,Andorra,7,0
559,Angola,7,0
560,Antigua and Barbuda,7,0
561,Argentina,7,0
562,Armenia,7,0
563,Australia,7,0
564,Austria,7,0
565,Azerbaijan,7,0
566,Bahamas,7,0
567,Bahrain,7,0
568,Bangladesh,7,0
569,Barbados,7,0
570,Belarus,7,0
571,Belgium,7,0
572,Belize,7,0
573,Benin,7,0
574,Bhutan,7,0
575,Bolivia,7,0
576,Bosnia and Herzegovina,7,0
577,Botswana,7,0
578,Brazil,7,0
579,Brunei,7,0
580,Bulgaria,7,0
581,Burkina Faso,7,0
582,Burma,7,0
583,Burundi,7,0
584,Cabo Verde,7,0
585,Cambodia,7,0
586,Cameroon,7,0
587,Canada,7,0
588,Central African Republic,7,0
589,Chad,7,0
590,Chile,7,0
591,China,7,1766
592,Colombia,7,0
593,Congo (Brazzaville),7,0
594,Congo (Kinshasa),7,0
595,Costa Rica,7,0
596,Cote d'Ivoire,7,0
597,Croatia,7,0
598,Cuba,7,0
599,Cyprus,7,0
600,Czechia,7,0
601,Denmark,7,0
602,Diamond Princess,7,0
603,Djibouti,7,0
604,Dominica,7,0
605,Dominican Republic,7,0
606,Ecuador,7,0
607,Egypt,7,0
608,El Salvador,7,0
609,Equatorial Guinea,7,0
610,Eritrea,7,0
611,Estonia,7,0
612,Eswatini,7,0
613,Ethiopia,7,0
614,Fiji,7,0
615,Finland,7,0
616,France,7,1
617,Gabon,7,0
618,Gambia,7,0
619,Georgia,7,0
620,Germany,7,0
621,Ghana,7,0
622,Greece,7,0
623,Grenada,7,0
624,Guatemala,7,0
625,Guinea,7,0
626,Guinea-Bissau,7,0
627,Guyana,7,0
628,Haiti,7,0
629,Holy See,7,0
630,Honduras,7,0
631,Hungary,7,0
632,Iceland,7,0
633,India,7,0
634,Indonesia,7,0
635,Iran,7,0
636,Iraq,7,0
637,Ireland,7,0
638,Israel,7,0
639,Italy,7,0
640,Jamaica,7,0
641,Japan,7,1
642,Jordan,7,0
643,Kazakhstan,7,0
644,Kenya,7,0
645,"Korea, South",7,0
646,Kosovo,7,0
647,Kuwait,7,0
648,Kyrgyzstan,7,0
649,Laos,7,0
650,Latvia,7,0
651,Lebanon,7,0
652,Liberia,7,0
653,Libya,7,0
654,Liechtenstein,7,0
655,Lithuania,7,0
656,Luxembourg,7,0
657,MS Zaandam,7,0
658,Madagascar,7,0
659,Malawi,7,0
660,Malaysia,7,0
661,Maldives,7,0
662,Mali,7,0
663,Malta,7,0
664,Mauritania,7,0
665,Mauritius,7,0
666,Mexico,7,0
667,Moldova,7,0
668,Monaco,7,0
669,Mongolia,7,0
