country,week,Date,Close,Volume
USA,1,01-01-2020,9068.580078,10556740000
USA,2,08-01-2020,9251.330078,12450220000
USA,3,15-01-2020,9370.80957,9944260000
USA,4,22-01-2020,9269.679688,12262310000
USA,5,29-01-2020,9467.969727,12108750000
USA,6,05-02-2020,9638.94043,11571420000
USA,7,12-02-2020,9732.740234,9089970000
USA,8,19-02-2020,8965.610352,14701550000
USA,9,26-02-2020,8684.089844,21974540000
USA,10,04-03-2020,8344.25,20593090000
USA,11,11-03-2020,7334.779785,23520670000
USA,12,18-03-2020,7417.859863,23640920000
USA,13,25-03-2020,7700.100098,20549900000
USA,14,01-04-2020,7887.259766,18491310000
USA,15,08-04-2020,8153.580078,7594400000
USA,16,09-04-2020,8153.575195,3506531634
China,1,01-01-2020,3104.802002,1143200
China,2,08-01-2020,3106.820068,1192300
China,3,15-01-2020,3052.139893,1041300
China,4,22-01-2020,2976.528076,496700
China,5,29-01-2020,2783.288086,579900
China,6,05-02-2020,2901.669922,1499800
China,7,12-02-2020,2984.971924,1399100
China,8,19-02-2020,3013.050049,1837400
China,9,26-02-2020,2992.896973,1529100
China,10,04-03-2020,2996.761963,1968700
China,11,11-03-2020,2779.641113,1684800
China,12,18-03-2020,2722.437988,1352300
China,13,25-03-2020,2750.295898,1206300
China,14,01-04-2020,2820.762939,906200
China,15,08-04-2020,2796.631104,715200
India,1,01-01-2020,40869.46875,34800
India,2,08-01-2020,41952.62891,63900
India,3,15-01-2020,41323.80859,38600
India,4,22-01-2020,40966.85938,41000
India,5,29-01-2020,40789.37891,51900
India,6,05-02-2020,41216.14063,67100
India,7,12-02-2020,40894.37891,47700
India,8,19-02-2020,40281.19922,29400
India,9,26-02-2020,38623.69922,55300
India,10,04-03-2020,35634.94922,66600
India,11,11-03-2020,30579.08984,125300
India,12,18-03-2020,26674.0293,143100
India,13,25-03-2020,29468.49023,343000
India,14,01-04-2020,30067.21094,58800
India,15,08-04-2020,31159.61914,43500
India,16,09-04-2020,31159.61914,0
Japan,1,01-01-2020,23575.7207,137100
Japan,2,08-01-2020,24025.16992,261700
Japan,3,15-01-2020,23864.56055,254900
Japan,4,22-01-2020,23215.71094,280000
Japan,5,29-01-2020,23084.58984,340300
Japan,6,05-02-2020,23685.98047,287300
Japan,7,12-02-2020,23193.80078,321700
Japan,8,19-02-2020,22605.41016,292800
Japan,9,26-02-2020,21082.73047,583000
Japan,10,04-03-2020,19867.11914,627000
Japan,11,11-03-2020,17011.5293,884100
Japan,12,18-03-2020,18092.34961,693700
Japan,13,25-03-2020,18917.00977,667900
Japan,14,01-04-2020,18950.17969,523000
Japan,15,08-04-2020,19498.5,275700
Japan,16,10-04-2020,19498.5,0
Hong Kong,1,01-01-2020,28322.06055,6156751400
Hong Kong,2,08-01-2020,28885.14063,8258989200
Hong Kong,3,15-01-2020,27985.33008,8276035300
Hong Kong,4,22-01-2020,27949.64063,3708679800
Hong Kong,5,29-01-2020,26675.98047,11223379900
Hong Kong,6,05-02-2020,27583.88086,9693622700
Hong Kong,7,12-02-2020,27530.19922,7864127900
Hong Kong,8,19-02-2020,26893.23047,8795924500
